,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
89,90,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,2019
90,91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,2019
91,92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,2019
92,93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,2019
93,94,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,2019
94,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,2019
95,96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,2019
96,97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,2019
97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019
98,99,Ivory Coast,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,2019
99,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,2019
100,101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,2019
101,102,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,2019
102,103,Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,2019
103,104,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,2019
104,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,2019
105,106,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,2019
106,107,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,2019
107,108,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,2019
108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,2019
109,110,Palestinian Territories,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,2019
110,111,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,2019
111,112,Somalia,4.668,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,2019
112,113,Namibia,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,2019
113,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019
114,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
115,116,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,2019
116,117,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,2019
117,118,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,2019
118,119,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,2019
119,120,Gambia,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,2019
120,121,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,2019
121,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,2019
122,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,2019
123,124,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,2019
124,125,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,2019
125,126,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,2019
126,127,Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,2019
127,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,2019
128,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019
129,130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,2019
130,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,2019
131,132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,2019
132,133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,2019
133,134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,2019
134,135,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,2019
135,136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,2019
136,137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,2019
137,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019
138,139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,2019
139,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019
140,141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,2019
141,142,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,2019
142,143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,2019
143,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,2019
144,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,2019
145,146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,2019
146,147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,2019
147,148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,2019
148,149,Syria,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,2019
149,150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,2019
150,151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,2019
151,152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,2019
152,153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,2019
153,154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,2019
154,155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,2019
155,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,2019
